,cname,ccodealp,ht_region,gle_cgdpc,undp_hdi,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners
42,Costa Rica,CRI,2,9485.71,0.77499998,Nan,3.5,4.666448593139648,6.9272398948669425,78.12113952636719
82,Italy,ITA,5,32931.672,0.88099998,60.78300094604492,2.0,3.736852645874023,4.079850196838379,95.72698974609376
62,Georgia,GEO,1,7148.5698,0.76800001,3.7300000190734863,5.400000095367432,3.20092511177063,1.983309984207153,92.05198669433594
175,United Arab Emirates,ARE,3,20310.109,0.83600003,Nan,2.5,5.27984094619751,Nan,Nan
172,Togo,TGO,4,1036.28,0.484,6.928999900817871,7.300000190734862,Nan,4.868460178375244,Nan
133,Papua New Guinea,PNG,9,1693.54,0.51499999,6.880000114440918,7.0999999046325675,Nan,Nan,Nan
171,Thailand,THA,7,9295.5703,0.73799998,68.65699768066406,4.099999904632568,3.44985032081604,4.1288700103759775,83.64586639404297
6,Azerbaijan,AZE,1,9793.3096,0.75800002,9.342000007629396,4.300000190734863,3.089141368865967,2.634660005569458,Nan
184,United Kingdom,GBR,5,34791.051,0.90799999,64.59700012207031,2.099999904632568,4.633322238922119,5.734489917755128,98.2799835205078
86,Kazakhstan,KAZ,1,14098.88,0.79299998,17.42200088500977,3.5999999046325684,3.581974983215332,2.7874999046325684,95.94628143310548
121,Netherlands,NLD,5,42258.352,0.92299998,16.86499977111816,2.5999999046325684,5.304530620574951,5.529379844665527,93.88201904296876
66,Kiribati,KIR,9,1532.65,0.58600003,0.1070000007748604,Nan,Nan,Nan,Nan
189,Uzbekistan,UZB,1,7370.7202,0.69700003,29.74600028991699,6.300000190734862,Nan,Nan,92.20738220214844
83,Cote d'Ivoire,CIV,4,1354.29,0.46599999,22.52400016784668,6.699999809265138,3.562078714370728,4.729380130767822,Nan
33,Sri Lanka,LKA,8,5466.8701,0.764,20.54100036621094,7.800000190734862,4.644126892089844,1.9256600141525269,85.42613983154297
135,Peru,PER,2,9227.1504,0.73699999,30.80900001525879,6.699999809265138,2.538634538650513,3.6897799968719482,78.37956237792969
148,San Marino,SMR,5,42664.210999999996,Nan,0.034000001847743995,Nan,Nan,2.3837299346923833,Nan
40,Congo,COG,4,2369.8401,0.58999997,Nan,6.800000190734862,Nan,Nan,Nan
166,Swaziland,SWZ,4,4110.0498,0.54100001,1.105999946594238,6.9000000953674325,3.79865288734436,7.049990177154541,36.21157836914063
147,St Vincent and the Grenadines,VCT,10,7454.8799,0.72000003,0.1099999994039536,Nan,Nan,Nan,Nan
80,Ireland,IRL,5,46422.07,0.92000002,4.620999813079834,2.799999952316284,5.434197425842285,5.324570178985597,99.57335662841795
53,Equatorial Guinea,GNQ,4,15412.43,0.58200002,Nan,6.0,Nan,Nan,Nan
164,Sudan (2012-),SDN,4,Nan,0.48800001,Nan,8.800000190734863,Nan,Nan,Nan
