,content,sentiment
34723,Happy Mama's day to all mothers,love
17493,@LysdelTellez I am lost. Please help me find a good home.,worry
20198,"@BoomKatt yes yes I AM, networking whore to the fullest.......and this girl is rih next to me",happiness
6855,you@snapplynn Wish that would have been your tweet after you followed me.,neutral
5924,"now i am doing the MicroEconomics project  ihate this subject &amp; beside that i have the english ILETS exam tomorrow, waaa ,HELP !!",worry
25532,@XThe_Happy_EmoX lmao. Lucky! It's 10 minutes on foot for me  ewww..... School.lol. On the bus now.,neutral
15286,@jackEO313 at first i thought bar life meant you were partying nonstop to catch up for the last 2 years...lol shoulda known better,fun
20730,@kyleandjackieo Fighter - Christina Aguilera. LOVE that song,love
181,@taxidermi  I was watching Parental Control,neutral
21237,"me 10 - 630, andrew 8 - 4. No idea about the rest, I think it was Ben and Princeton which could be fun  lol I'm going to be late",happiness
21059,I'm holding Audrey (mine and Erica's bean bag thing),neutral
23290,@craigend I only do computers. Am hopeless at everything else,worry
22396,"@willadam Granted, it won't do that, either",worry
30416,a chilled day  party tomorrow.,happiness
5726,i am Marina and i sware to God i'll never again end up studying French till 2 o'clock at night EVER AGAIN...too much drama...sooo sleepy,worry
6909,having a reli gd holiday .. buh now have to revise  x,hate
21293,@vewe haha. Hope U have a Great Laugh as Laughter is the Best Medicine,happiness
22809,Finally i have finished my tec recipe card and i feel somewhat accomplished,love
2026,And it's starting to get cold,worry
1170,@gettothefalcon i miss that too,neutral
23160,productive day 1,neutral
19205,Just got to the gym but w/no energy,sadness
36186,I'm calling your room-mate!!!,happiness
18174,I am so bored.  My homework is done for my master's program and It's Friday nite wit nutin to do.,empty
6570,"Praise the advantages of todays copy protection: can not run my fresh installed 3D app, since the licensing system donï¿½t let me.",relief
14229,at economics i wanna go homeeeeeee  im tired and i hate the teacher.  and iï¿½m sick of half of my classmates and i wanna go home and sleep,hate
17960,@itsgabbith hMm well at least you got them out! Sorry about it though  wish you could keep them in!!!,worry
16122,@JayHostDC went last year. I gotta go to my friend's party tonight though.  I can never win,neutral
14885,crap! tying run is on 2nd!  let's hold em' Raiders!,hate
18131,"Client consult in Valley Ranch, then home to work some more",neutral
39668,"@ashestoashessn2 Fab, eh?  Feel free to come along for some pre-ep 4 chat and drinks over at Luigi's - http://www.luigis.org.uk tomorrow!",fun
24919,@NathanDevonte looooooooooooool thanks,love
6609,@Rambleredhead I think I'd be like Phoebe's mom on friends - Stop the movie before the sad part.,neutral
34865,@TDBeadles as to sleeping with whom ? You have your rocking sheets  I hope the smoothness is endulging can't wait for my blankets),happiness
22901,@bobbiehouston haha that photo is too funny! I hope he wasn't disturbed by passengers too much during the flight,happiness
1872,"Morning folks! Light tweeting today ('Hurrah!' from the crowd!) 'cos I've a busy Friday. Me inside, sunshine out.",neutral
26574,so most kids love my dark hair some say that I dye it too much and they never know what color its going to be  yea me hahahahaha,fun
34341,@cawineblog everything counts  what are you drinking?,neutral
12517,Hoping the day gets better now,neutral
10594,"i wish that mcfly dream was real aha, i want tom to write in my action plannner  haaa, it would be awesome though ;D",surprise
27454,PS tell me about your weekend,neutral
34314,Happy Mothers Day! ..ok..seriously..good night,fun
8405,hut myself in the face with a hammer earlier by accident  obviously it hurts.,hate
35965,sittin by the fire...yes!,happiness
19988,not in the mood crazii crazii highly upset now with everything &amp; everybody,worry
8496,Those houses were a bust. House 1 smelled like a bowling alley and was maaad gross and house 2 needed a new roof and basement,worry
38992,reconnecting with amadeus and friends,neutral
37639,My mom doesn't have twitter but imma post this anyway ..... I love you mommy,love
3989,wants to smoke a cig but doesn't have a lighter.,love
38943,Great exercise for a Sunday morning: &quot;stopping the wheel of karma&quot; (R.A.W.) and transforming negativity into love... Life!,happiness
