titulo_album,artista,anio
Dua Lipa,Dua Lipa,2017
Yours Truly,Ariana Grande,2013
My Everything,Ariana Grande,2014
Dangerous Woman,Ariana Grande,2016
Sweetener,Ariana Grande,2018
Invasion of Privacy,Cardi B,2018
Taylor Swift,Taylor Swift,2006
Fearless,Taylor Swift,2008
Speak Now,Taylor Swift,2010
Red,Taylor Swift,2012
1989,Taylor Swift,2014
Reputation,Taylor Swift,2017
Camila,Camila Cabello,2018
Thank Me Later,Drake,2010
Take Care,Drake,2011
Nothing Was The Same,Drake,2013
Views,Drake,2016
Scorpion,Drake,2018
Stoney,Post Malone,2016
Beerbongs & Bentleys,Post Malone,2018
17,XXXTENTACION,2017
?,XXXTENTACION,2018
Skins,XXXTENTACION,2018
Real (Edicion Colombia),J Balvin,2007
Real (Special Edition),J Balvin,2009
El Negocio,J Balvin,2011
La Familia,J Balvin,2013
La Familia B Sides,J Balvin,2014
Energia,J Balvin,2016
Vibras,J Balvin,2018
+,Ed Sheeran,2011
x,Ed Sheeran,2014
%,Ed Sheeran,2017
