titulo_cancion,artista,album,numero_del_track
New Rules,Dua Lipa,Dua Lipa,10
Lost in Your Light,Dua Lipa,Dua Lipa,2
Into You,Ariana Grande,Dangerous Woman,4
Side To Side,Ariana Grande,Dangerous Woman,5
Problem,Ariana Grande,My Everything,2
Break Free,Ariana Grande,My Everything,5
God Is a Woman,Ariana Grande,Sweetener,5
I Like It,Cardi B,Invasion of Privacy,7
Bad Blood,Taylor Swift,1989,8
Blank Space,Taylor Swift,1989,2
The Story of Us,Taylor Swift,Speak Now,4
Love Story,Taylor Swift,Fearless,3
Havanna,Camila Cabello,Camila,4
One Dance,Drake,Views,12
Too Much,Drake,Nothing Was The Same, 12
Own It,Drake,Nothing Was The Same,5
Broken Whiskey Glass,Post Malone,Stoney,1
Too Young,Post Malone,Stoney,11
Train food,XXXTENTACION,Skins,3
One Minute,XXXTENTACION,Skins,7
